"subnum","block","trial","cue","flank","location","direction","rt","error","group","age","correctRT"
1,1,1,"None","Neutral","up","left",398.677309462883,0,"Young",27,398.677309462883
1,1,2,"Center","Neutral","up","left",389.182166211104,0,"Young",27,389.182166211104
1,1,3,"Double","Neutral","up","left",333.218569379498,0,"Young",27,333.218569379498
1,1,4,"Spatial","Neutral","up","left",419.76404010689,0,"Young",27,419.76404010689
1,1,5,"None","Congruent","up","left",446.475388590768,0,"Young",27,446.475388590768
1,1,6,"Center","Congruent","up","left",338.976580794099,0,"Young",27,338.976580794099
1,1,7,"Double","Congruent","up","left",399.371452621424,0,"Young",27,399.371452621424
1,1,8,"Spatial","Congruent","up","left",376.916235256461,0,"Young",27,376.916235256461
1,1,9,"None","Incongruent","up","left",528.789067582675,0,"Young",27,528.789067582675
1,1,10,"Center","Incongruent","up","left",434.730580642182,0,"Young",27,434.730580642182
1,1,11,"Double","Incongruent","up","left",520.589058422542,0,"Young",27,520.589058422542
1,1,12,"Spatial","Incongruent","up","left",429.492161820572,0,"Young",27,429.492161820572
1,1,13,"None","Neutral","down","left",398.93797097291,0,"Young",27,398.93797097291
1,1,14,"Center","Neutral","down","left",269.265005641125,0,"Young",27,269.265005641125
1,1,15,"Double","Neutral","down","left",431.246545907155,0,"Young",27,431.246545907155
1,1,16,"Spatial","Neutral","down","left",337.753319549238,0,"Young",27,337.753319549238
1,1,17,"None","Congruent","down","left",429.190486845053,1,"Young",27,NA
1,1,18,"Center","Congruent","down","left",427.191810534265,0,"Young",27,427.191810534265
1,1,19,"Double","Congruent","down","left",416.061059754904,0,"Young",27,416.061059754904
1,1,20,"Spatial","Congruent","down","left",369.695066060875,0,"Young",27,369.695066060875
1,1,21,"None","Incongruent","down","left",545.948868580411,0,"Young",27,545.948868580411
1,1,22,"Center","Incongruent","down","left",489.106815036553,0,"Young",27,489.106815036553
1,1,23,"Double","Incongruent","down","left",448.72824916826,0,"Young",27,448.72824916826
