"error","rt","trial","flank","cue","direction","location","subnum","block"
0,524.132939915398,1,"Neutral","None","left","up","11",1
0,472.77741588417,2,"Neutral","Center","left","up","11",1
0,409.815033574665,3,"Neutral","Double","left","up","11",1
0,307.889834933483,4,"Neutral","Spatial","left","up","11",1
0,383.120250681687,5,"Congruent","None","left","up","11",1
0,315.029482203117,6,"Congruent","Center","left","up","11",1
0,342.270218596812,7,"Congruent","Double","left","up","11",1
0,248.088609400982,8,"Congruent","Spatial","left","up","11",1
0,524.877684608062,9,"Incongruent","None","left","up","11",1
0,406.825937346337,10,"Incongruent","Center","left","up","11",1
0,415.091691470701,11,"Incongruent","Double","left","up","11",1
0,444.055151517437,12,"Incongruent","Spatial","left","up","11",1
0,450.380974160297,13,"Neutral","None","left","down","11",1
0,436.915870645647,14,"Neutral","Center","left","down","11",1
0,400.086149439989,15,"Neutral","Double","left","down","11",1
1,336.64786451159,16,"Neutral","Spatial","left","down","11",1
0,452.002677173967,17,"Congruent","None","left","down","11",1
0,303.901943959814,18,"Congruent","Center","left","down","11",1
0,380.481082950328,19,"Congruent","Double","left","down","11",1
0,349.452227430836,20,"Congruent","Spatial","left","down","11",1
0,539.052059951065,21,"Incongruent","None","left","down","11",1
0,477.674534439722,22,"Incongruent","Center","left","down","11",1
0,479.788296529071,23,"Incongruent","Double","left","down","11",1
0,343.237106712207,24,"Incongruent","Spatial","left","down","11",1
0,457.439295338194,25,"Neutral","None","right","up","11",1
0,284.737823778806,26,"Neutral","Center","right","up","11",1
0,385.213718408379,27,"Neutral","Double","right","up","11",1
0,360.401949295861,28,"Neutral","Spatial","right","up","11",1
1,501.337551931607,29,"Congruent","None","right","up","11",1
0,426.263538608564,30,"Congruent","Center","right","up","11",1
0,426.216210847724,31,"Congruent","Double","right","up","11",1
0,250.09289399975,32,"Congruent","Spatial","right","up","11",1
0,580.11609391801,33,"Incongruent","None","right","up","11",1
0,458.228332271704,34,"Incongruent","Center","right","up","11",1
0,607.356001900571,35,"Incongruent","Double","right","up","11",1
0,376.312533420567,36,"Incongruent","Spatial","right","up","11",1
0,371.059326582345,37,"Neutral","None","right","down","11",1
0,415.677530254288,38,"Neutral","Center","right","down","11",1
0,374.394946771489,39,"Neutral","Double","right","down","11",1
0,402.993482599646,40,"Neutral","Spatial","right","down","11",1
0,406.151160069883,41,"Congruent","None","right","down","11",1
0,332.863947664493,42,"Congruent","Center","right","down","11",1
