"subnum","group","block","trial","cue","flank","location","direction","rt","error"
"1","Treatment",1,1,"None","Neutral","up","left",398.677309462883,0
"1","Treatment",1,2,"Center","Neutral","up","left",389.182166211104,0
"1","Treatment",1,3,"Double","Neutral","up","left",333.218569379498,0
"1","Treatment",1,4,"Spatial","Neutral","up","left",419.76404010689,0
"1","Treatment",1,5,"None","Congruent","up","left",446.475388590768,0
"1","Treatment",1,6,"Center","Congruent","up","left",338.976580794099,0
"1","Treatment",1,7,"Double","Congruent","up","left",399.371452621424,0
"1","Treatment",1,8,"Spatial","Congruent","up","left",376.916235256461,0
"1","Treatment",1,9,"None","Incongruent","up","left",528.789067582675,0
"1","Treatment",1,10,"Center","Incongruent","up","left",434.730580642182,0
"1","Treatment",1,11,"Double","Incongruent","up","left",520.589058422542,0
"1","Treatment",1,12,"Spatial","Incongruent","up","left",429.492161820572,0
"1","Treatment",1,13,"None","Neutral","down","left",398.93797097291,0
"1","Treatment",1,14,"Center","Neutral","down","left",269.265005641125,0
"1","Treatment",1,15,"Double","Neutral","down","left",431.246545907155,0
"1","Treatment",1,16,"Spatial","Neutral","down","left",337.753319549238,0
"1","Treatment",1,17,"None","Congruent","down","left",429.190486845053,1
"1","Treatment",1,18,"Center","Congruent","down","left",427.191810534265,0
"1","Treatment",1,19,"Double","Congruent","down","left",416.061059754904,0
"1","Treatment",1,20,"Spatial","Congruent","down","left",369.695066060875,0
"1","Treatment",1,21,"None","Incongruent","down","left",545.948868580411,0
"1","Treatment",1,22,"Center","Incongruent","down","left",489.106815036553,0
"1","Treatment",1,23,"Double","Incongruent","down","left",448.72824916826,0
"1","Treatment",1,24,"Spatial","Incongruent","down","left",310.532415206831,0
"1","Treatment",1,25,"None","Neutral","up","right",460.991287394736,0
"1","Treatment",1,26,"Center","Neutral","up","right",377.19356302355,1
"1","Treatment",1,27,"Double","Neutral","up","right",367.210224664734,0
"1","Treatment",1,28,"Spatial","Neutral","up","right",266.462380805036,0
"1","Treatment",1,29,"None","Congruent","up","right",406.092497244569,0
"1","Treatment",1,30,"Center","Congruent","up","right",400.897078009985,0
"1","Treatment",1,31,"Double","Congruent","up","right",442.933977576452,1
"1","Treatment",1,32,"Spatial","Congruent","up","right",334.86061363285,1
"1","Treatment",1,33,"None","Incongruent","up","right",519.383580577968,1
"1","Treatment",1,34,"Center","Incongruent","up","right",447.309747970855,0
"1","Treatment",1,35,"Double","Incongruent","up","right",376.14702215857,0
"1","Treatment",1,36,"Spatial","Incongruent","up","right",389.250271835016,0
"1","Treatment",1,37,"None","Neutral","down","right",410.285502314483,0
"1","Treatment",1,38,"Center","Neutral","down","right",377.034330164441,0
"1","Treatment",1,39,"Double","Neutral","down","right",430.001268599194,0
"1","Treatment",1,40,"Spatial","Neutral","down","right",378.158787422877,0
"1","Treatment",1,41,"None","Congruent","down","right",421.773820187321,0
"1","Treatment",1,42,"Center","Congruent","down","right",367.331915993175,0
"1","Treatment",1,43,"Double","Congruent","down","right",409.848168770237,1
"1","Treatment",1,44,"Spatial","Congruent","down","right",367.833159933683,0
"1","Treatment",1,45,"None","Incongruent","down","right",465.562215272524,0
"1","Treatment",1,46,"Center","Incongruent","down","right",414.625242151894,0
"1","Treatment",1,47,"Double","Incongruent","down","right",463.229098106842,0
"1","Treatment",1,48,"Spatial","Incongruent","down","right",448.426646225771,0
"1","Treatment",2,1,"None","Neutral","up","left",424.382689392489,0
"1","Treatment",2,2,"Center","Neutral","up","left",424.055386322711,0
"1","Treatment",2,3,"Double","Neutral","up","left",394.905294018353,0
