rt,group,direction,flank,cue,trial,error,subnum,block
568.6773095,Treatment,left,Neutral,None,1,0,101,1
559.1821662,Treatment,left,Neutral,Center,2,0,101,1
503.2185694,Treatment,left,Neutral,Double,3,0,101,1
589.7640401,Treatment,left,Neutral,Spatial,4,0,101,1
616.4753886,Treatment,left,Congruent,None,5,0,101,1
508.9765808,Treatment,left,Congruent,Center,6,0,101,1
569.3714526,Treatment,left,Congruent,Double,7,0,101,1
546.9162353,Treatment,left,Congruent,Spatial,8,0,101,1
698.7890676,Treatment,left,Incongruent,None,9,0,101,1
604.7305806,Treatment,left,Incongruent,Center,10,0,101,1
690.5890584,Treatment,left,Incongruent,Double,11,0,101,1
599.4921618,Treatment,left,Incongruent,Spatial,12,0,101,1
568.937971,Treatment,left,Neutral,None,13,0,101,1
439.2650056,Treatment,left,Neutral,Center,14,0,101,1
601.2465459,Treatment,left,Neutral,Double,15,0,101,1
507.7533195,Treatment,left,Neutral,Spatial,16,0,101,1
599.1904868,Treatment,left,Congruent,None,17,1,101,1
597.1918105,Treatment,left,Congruent,Center,18,0,101,1
586.0610598,Treatment,left,Congruent,Double,19,0,101,1
539.6950661,Treatment,left,Congruent,Spatial,20,0,101,1
715.9488686,Treatment,left,Incongruent,None,21,0,101,1
659.106815,Treatment,left,Incongruent,Center,22,0,101,1
618.7282492,Treatment,left,Incongruent,Double,23,0,101,1
480.5324152,Treatment,left,Incongruent,Spatial,24,0,101,1
630.9912874,Treatment,right,Neutral,None,25,0,101,1
547.193563,Treatment,right,Neutral,Center,26,1,101,1
537.2102247,Treatment,right,Neutral,Double,27,0,101,1
436.4623808,Treatment,right,Neutral,Spatial,28,0,101,1
576.0924972,Treatment,right,Congruent,None,29,0,101,1
570.897078,Treatment,right,Congruent,Center,30,0,101,1
612.9339776,Treatment,right,Congruent,Double,31,1,101,1
504.8606136,Treatment,right,Congruent,Spatial,32,1,101,1
689.3835806,Treatment,right,Incongruent,None,33,1,101,1
617.309748,Treatment,right,Incongruent,Center,34,0,101,1
546.1470222,Treatment,right,Incongruent,Double,35,0,101,1
559.2502718,Treatment,right,Incongruent,Spatial,36,0,101,1
580.2855023,Treatment,right,Neutral,None,37,0,101,1
547.0343302,Treatment,right,Neutral,Center,38,0,101,1
600.0012686,Treatment,right,Neutral,Double,39,0,101,1
548.1587874,Treatment,right,Neutral,Spatial,40,0,101,1
591.7738202,Treatment,right,Congruent,None,41,0,101,1
537.331916,Treatment,right,Congruent,Center,42,0,101,1
579.8481688,Treatment,right,Congruent,Double,43,1,101,1
537.8331599,Treatment,right,Congruent,Spatial,44,0,101,1
635.5622153,Treatment,right,Incongruent,None,45,0,101,1
584.6252422,Treatment,right,Incongruent,Center,46,0,101,1
633.2290981,Treatment,right,Incongruent,Double,47,0,101,1
618.4266462,Treatment,right,Incongruent,Spatial,48,0,101,1
594.3826894,Treatment,left,Neutral,None,1,0,101,2
594.0553863,Treatment,left,Neutral,Center,2,0,101,2
564.905294,Treatment,left,Neutral,Double,3,0,101,2
479.3986803,Treatment,left,Neutral,Spatial,4,1,101,2
617.0559846,Treatment,left,Congruent,None,5,0,101,2
493.5318452,Treatment,left,Congruent,Center,6,0,101,2
616.6511851,Treatment,left,Congruent,Double,7,0,101,2
609.0199949,Treatment,left,Congruent,Spatial,8,0,101,2
651.6389262,Treatment,left,Incongruent,None,9,0,101,2
567.7932687,Treatment,left,Incongruent,Center,10,0,101,2
643.4859814,Treatment,left,Incongruent,Double,11,0,101,2
573.2472698,Treatment,left,Incongruent,Spatial,12,0,101,2
720.080888,Treatment,left,Neutral,None,13,0,101,2
548.0379999,Treatment,left,Neutral,Center,14,0,101,2
579.4869681,Treatment,left,Neutral,Double,15,0,101,2
511.4001079,Treatment,left,Neutral,Spatial,16,0,101,2
562.8363396,Treatment,left,Congruent,None,17,0,101,2
559.439615,Treatment,left,Congruent,Center,18,0,101,2
454.7520686,Treatment,left,Congruent,Double,19,0,101,2
